Occupation,Job Zone,Active_Learning_Importance,Active_Learning_Level,Critical_Thinking_Importance,Critical_Thinking_Level,Learning_Strategies_Importance,Learning_Strategies_Level,Monitoring_Importance,Monitoring_Level,Active_Listening_Importance,Active_Listening_Level,Mathematics_Importance,Mathematics_Level,Programming_Importance,Programming_Level,Reading_Comprehension_Importance,Reading_Comprehension_Level,Science_Importance,Science_Level,Speaking_Importance,Speaking_Level,Writing_Importance,Writing_Level
Locksmiths and Safe Repairers,2,47,41,53,45,31,32,44,39,53,43,38,30,16,11,50,43,0,Not relevant,53,43,41,34
Mechanical Door Repairers,2,50,32,63,43,41,30,50,43,53,43,38,36,0,Not relevant,53,41,0,Not relevant,53,43,44,41
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2,41,36,50,41,31,27,56,43,53,43,47,39,19,11,50,39,16,9,50,37,38,32
Motorboat Mechanics and Service Technicians,3,35,32,60,45,25,29,47,43,53,43,31,29,16,9,44,39,25,25,50,37,38,36
Motorcycle Mechanics,3,53,45,53,45,41,32,53,43,53,43,31,30,6,Not relevant,50,43,22,18,53,43,44,41
Musical Instrument Repairers and Tuners,3,50,43,63,46,47,36,50,43,53,43,25,29,6,Not relevant,50,43,22,18,53,43,38,39
Parking Enforcement Workers,2,47,34,53,43,31,34,56,43,53,43,28,25,13,11,50,41,0,Not relevant,56,43,47,34
Pipelayers,2,35,30,50,43,28,29,47,39,53,43,28,30,0,Not relevant,47,41,10,7,47,43,25,30
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",2,28,30,50,39,31,30,53,43,53,43,25,20,0,Not relevant,53,41,25,27,50,39,44,37
Prepress Technicians and Workers,3,47,43,53,43,35,32,53,43,53,43,25,29,19,13,50,43,16,13,53,45,47,41
Printing Press Operators,2,47,41,53,45,28,30,56,46,53,43,28,29,13,9,53,45,0,Not relevant,53,43,35,37
"Pump Operators, Except Wellhead Pumpers",2,47,41,53,45,28,32,63,48,53,43,35,37,19,11,53,43,25,20,53,41,47,39
Riggers,2,41,32,53,43,16,16,53,45,53,43,16,14,0,Not relevant,53,34,10,7,50,39,35,34
Sailors and Marine Oilers,2,47,41,53,43,38,37,56,45,53,43,38,30,0,Not relevant,47,45,22,14,50,43,44,41
"Shipping, Receiving, and Inventory Clerks",2,35,30,50,43,28,32,50,43,53,43,31,32,16,9,53,45,0,Not relevant,56,43,41,39
Structural Iron and Steel Workers,2,50,43,53,45,47,43,50,43,53,43,28,30,0,Not relevant,44,43,3,Not relevant,50,34,31,34
Team Assemblers,2,31,30,50,41,35,30,53,43,53,43,25,21,16,9,50,41,0,Not relevant,50,43,44,41
Textile Bleaching and Dyeing Machine Operators and Tenders,2,31,29,50,37,25,25,50,39,53,43,38,36,0,Not relevant,44,37,19,14,50,37,38,37
Weatherization Installers and Technicians,2,47,41,56,46,44,34,60,46,53,43,44,39,16,13,50,43,25,13,53,43,47,43
Cashiers,2,35,32,47,37,28,30,47,36,53,41,50,32,3,Not relevant,47,37,0,Not relevant,53,41,31,34
"Control and Valve Installers and Repairers, Except Mechanical Door",3,47,43,60,45,38,34,53,43,53,41,28,21,16,11,50,45,19,16,53,43,50,41
Farm Equipment Mechanics and Service Technicians,3,50,43,63,52,41,37,50,41,53,41,44,36,19,11,53,41,22,23,53,43,44,36
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2,38,37,53,43,38,36,63,43,53,41,13,11,6,Not relevant,53,41,19,13,50,41,47,41
Forest and Conservation Workers,3,50,37,53,45,47,37,53,45,53,41,38,30,16,9,47,45,25,21,56,43,47,36
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",2,44,37,50,43,41,39,53,48,53,41,47,41,19,13,47,43,25,16,53,37,47,37
Helpers--Electricians,2,38,34,50,39,28,27,44,32,53,41,25,20,0,Not relevant,35,39,16,11,50,34,25,29
Light Truck Drivers,2,28,30,47,41,22,25,50,36,53,41,38,30,0,Not relevant,50,39,3,Not relevant,53,39,47,36
Recycling and Reclamation Workers,2,38,32,44,39,25,29,53,39,53,41,22,21,0,Not relevant,41,41,3,Not relevant,44,34,35,36
"Roof Bolters, Mining",2,47,41,60,43,31,36,56,45,53,41,28,25,0,Not relevant,35,32,13,11,50,32,28,32
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",2,44,29,50,41,25,27,47,41,53,41,25,25,0,Not relevant,50,45,35,34,50,41,41,39
Adhesive Bonding Machine Operators and Tenders,2,41,34,47,39,31,30,53,45,53,39,38,34,16,9,50,36,13,7,53,37,44,32
Automotive and Watercraft Service Attendants,2,38,29,50,41,31,29,44,34,53,39,35,27,3,Not relevant,44,36,10,5,53,36,41,34
"Bus Drivers, Transit and Intercity",2,41,29,53,39,28,25,50,36,53,39,25,25,0,Not relevant,44,34,0,Not relevant,50,32,38,30
Craft Artists,3,47,37,50,45,31,32,50,39,53,39,28,29,13,7,53,39,10,5,53,41,47,37
"Helpers--Installation, Maintenance, and Repair Workers",2,41,36,53,39,38,30,53,37,53,39,25,23,10,5,41,30,3,Not relevant,50,34,28,29
"Loading and Moving Machine Operators, Underground Mining",2,25,25,47,39,22,18,44,36,53,39,13,9,0,Not relevant,47,36,3,Not relevant,41,36,25,25
Outdoor Power Equipment and Other Small Engine Mechanics,2,44,39,56,43,38,30,47,39,53,39,25,29,10,5,47,37,19,16,47,36,41,36
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",2,50,43,53,43,47,39,63,43,53,39,35,36,16,9,50,41,10,5,56,39,41,37
Roofers,2,41,34,53,41,28,29,50,39,53,39,31,30,0,Not relevant,44,37,6,Not relevant,50,36,25,29
Tile and Stone Setters,2,44,36,56,45,31,32,47,37,53,39,50,45,0,Not relevant,44,39,6,Not relevant,53,39,35,32
"Ushers, Lobby Attendants, and Ticket Takers",2,41,30,44,37,16,18,44,37,53,39,22,20,10,5,44,32,0,Not relevant,56,36,31,30
Shampooers,2,31,29,38,30,25,25,44,34,53,37,16,16,0,Not relevant,38,32,0,Not relevant,56,36,35,29
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",2,38,29,53,43,31,27,50,45,53,37,31,23,3,Not relevant,44,37,19,11,53,41,31,29
Orderlies,2,28,27,44,30,28,29,41,29,53,36,19,13,0,Not relevant,38,29,6,Not relevant,50,30,41,32
"Meat, Poultry, and Fish Cutters and Trimmers",1,35,32,50,41,31,32,50,37,53,32,31,27,0,Not relevant,35,32,0,Not relevant,50,37,28,30
"Mobile Heavy Equipment Mechanics, Except Engines",3,50,43,56,48,41,39,50,45,50,45,47,37,16,9,53,48,22,21,50,43,50,41
Animal Breeders,2,50,39,56,46,28,29,50,43,50,43,28,30,13,7,47,41,50,41,50,39,44,39
Animal Caretakers,2,35,30,44,41,25,29,53,41,50,43,25,27,6,Not relevant,50,41,13,7,47,39,44,36
Automotive Body and Related Repairers,2,47,32,50,43,31,30,50,41,50,43,28,29,19,11,47,41,6,Not relevant,50,39,35,30
Biomass Plant Technicians,2,50,43,53,45,50,43,60,46,50,43,44,39,19,11,50,43,31,23,50,43,50,43
Boilermakers,3,50,43,63,45,44,39,53,45,50,43,31,29,0,Not relevant,53,43,25,27,47,41,44,41
"Cooks, Institution and Cafeteria",2,47,41,50,41,44,39,53,43,50,43,47,39,0,Not relevant,47,41,0,Not relevant,53,41,44,37
"Cooks, Restaurant",2,44,39,50,43,28,34,53,45,50,43,38,32,3,Not relevant,47,34,6,Not relevant,50,43,31,36
Cooling and Freezing Equipment Operators and Tenders,2,50,45,66,46,38,34,63,48,50,43,35,34,19,11,50,43,19,13,53,41,47,41
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",2,47,41,47,43,44,39,60,43,50,43,41,32,10,5,50,43,28,21,50,43,47,41
Dental Laboratory Technicians,2,50,43,53,45,44,43,50,43,50,43,28,30,3,Not relevant,56,45,28,16,50,43,44,41
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,44,34,50,45,28,30,53,45,50,43,28,32,6,Not relevant,50,41,13,9,50,43,35,39
"Earth Drillers, Except Oil and Gas",2,44,32,56,43,31,29,53,45,50,43,31,25,0,Not relevant,44,36,16,11,50,41,35,34
Engine and Other Machine Assemblers,2,35,32,50,43,25,29,50,43,50,43,25,29,19,11,53,45,22,23,50,41,31,32
Etchers and Engravers,2,35,32,50,45,31,29,53,41,50,43,25,25,16,9,53,41,3,Not relevant,50,37,31,32
"Excavating and Loading Machine and Dragline Operators, Surface Mining",2,50,41,50,43,35,32,53,43,50,43,31,32,0,Not relevant,50,43,0,Not relevant,50,39,38,34
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",2,44,37,47,43,31,30,63,45,50,43,25,27,6,Not relevant,47,39,6,Not relevant,50,41,41,37
Food Batchmakers,2,44,30,53,41,28,29,47,43,50,43,44,34,3,Not relevant,53,43,25,25,50,43,47,41
Food Cooking Machine Operators and Tenders,2,41,34,50,34,28,29,53,41,50,43,25,27,6,Not relevant,53,39,22,20,41,34,44,37
Gambling Change Persons and Booth Cashiers,2,25,30,47,41,25,30,47,36,50,43,47,36,6,Not relevant,53,43,0,Not relevant,50,39,44,37
Geothermal Technicians,2,53,43,56,45,28,32,69,52,50,43,44,45,22,16,56,45,28,29,50,43,50,43
"Glass Blowers, Molders, Benders, and Finishers",2,47,41,50,43,41,34,56,43,50,43,41,30,10,5,50,43,19,18,44,39,41,37
Helpers--Carpenters,2,47,30,50,39,28,29,50,34,50,43,35,32,0,Not relevant,47,32,0,Not relevant,50,34,31,34
"Maintenance and Repair Workers, General",3,53,45,56,45,31,34,53,45,50,43,35,32,10,7,50,45,22,16,50,43,47,41
"Maintenance Workers, Machinery",3,44,30,50,43,28,27,47,39,50,43,28,23,16,11,50,41,16,11,47,39,28,32
Metal-Refining Furnace Operators and Tenders,2,47,30,50,43,31,29,66,45,50,43,38,37,0,Not relevant,50,41,25,23,50,41,44,39
"Meter Readers, Utilities",2,44,30,50,39,35,36,47,41,50,43,35,30,22,13,50,41,3,Not relevant,50,43,41,39
Motion Picture Projectionists,2,28,30,47,39,25,29,47,41,50,43,13,7,10,9,50,43,0,Not relevant,50,41,28,39
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,47,41,50,45,35,39,53,43,50,43,31,30,22,16,50,43,6,Not relevant,50,41,44,39
Operating Engineers and Other Construction Equipment Operators,2,47,37,47,43,28,30,53,43,50,43,25,23,3,Not relevant,47,36,13,9,47,36,25,27
"Painters, Construction and Maintenance",2,35,32,50,43,28,20,47,37,50,43,28,27,0,Not relevant,47,39,13,7,38,32,28,29
"Patternmakers, Wood",3,44,36,50,45,28,29,53,43,50,43,50,43,16,9,53,43,19,13,47,36,41,30
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",2,50,46,60,54,50,43,69,54,50,43,44,48,22,18,63,50,25,27,50,41,60,43
Postal Service Mail Carriers,2,25,29,50,39,19,16,41,32,50,43,16,16,0,Not relevant,41,41,0,Not relevant,50,39,28,30
"Pourers and Casters, Metal",2,31,30,50,43,31,30,50,43,50,43,22,23,6,Not relevant,44,36,19,16,47,37,31,29
Rail Car Repairers,2,44,39,56,48,41,32,47,39,50,43,28,30,0,Not relevant,47,39,19,14,50,34,47,39
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2,47,41,53,43,44,41,53,45,50,43,41,37,19,11,50,41,38,29,47,41,47,41
Signal and Track Switch Repairers,3,47,43,69,48,41,39,47,45,50,43,38,32,25,13,47,41,19,13,47,36,47,43
Stonemasons,3,50,37,66,43,38,34,50,39,50,43,41,37,0,Not relevant,47,36,13,11,50,37,47,37
Structural Metal Fabricators and Fitters,3,31,23,50,32,10,11,44,36,50,43,25,27,0,Not relevant,50,34,13,9,50,36,25,29
"Tailors, Dressmakers, and Custom Sewers",2,41,37,50,43,25,25,44,37,50,43,22,23,0,Not relevant,41,37,0,Not relevant,50,41,38,32
"Tank Car, Truck, and Ship Loaders",2,44,39,50,41,38,34,50,45,50,43,38,30,10,5,56,45,13,11,50,41,50,39
Telecommunications Line Installers and Repairers,2,44,37,53,45,31,29,50,41,50,43,25,25,16,9,47,43,19,16,53,39,41,41
Tool and Die Makers,3,50,45,53,45,28,30,53,43,50,43,44,41,16,9,47,45,19,18,47,39,31,36
Upholsterers,2,50,41,63,45,44,39,50,43,50,43,38,36,0,Not relevant,53,43,6,Not relevant,50,41,41,34
Watch and Clock Repairers,3,31,32,53,43,25,23,41,32,50,43,25,29,0,Not relevant,47,41,19,18,50,39,31,32
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",2,44,39,60,43,44,36,53,45,50,43,47,39,19,16,56,43,13,11,53,43,47,43
Agricultural Equipment Operators,1,31,27,47,39,19,14,44,32,50,41,22,16,0,Not relevant,31,27,16,9,44,37,28,25
"Coil Winders, Tapers, and Finishers",2,31,27,47,41,25,27,53,43,50,41,19,16,0,Not relevant,47,39,0,Not relevant,47,36,28,29
Continuous Mining Machine Operators,2,44,36,56,45,35,36,50,43,50,41,25,20,0,Not relevant,44,32,10,Not relevant,50,32,28,29
"Cooks, Private Household",3,50,45,56,43,38,32,50,43,50,41,31,29,6,Not relevant,50,43,13,7,50,43,44,36
Electrical and Electronic Equipment Assemblers,2,41,39,50,43,28,29,53,41,50,41,28,29,6,Not relevant,56,45,22,21,47,39,47,37
Fiberglass Laminators and Fabricators,2,47,39,47,41,41,39,53,45,50,41,35,30,0,Not relevant,50,39,19,14,50,37,47,36
Highway Maintenance Workers,2,35,30,47,39,25,25,53,39,50,41,28,27,3,Not relevant,44,39,0,Not relevant,50,39,28,27
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,31,29,47,43,31,25,53,43,50,41,28,32,16,9,50,43,19,11,47,37,31,30
Machinists,3,44,41,53,45,28,34,53,45,50,41,47,39,19,16,47,43,13,11,50,43,38,37
"Mixing and Blending Machine Setters, Operators, and Tenders",2,50,41,50,41,41,36,56,43,50,41,38,30,19,14,56,41,31,29,50,36,50,39
"Model Makers, Metal and Plastic",3,47,41,53,43,35,29,56,43,50,41,41,41,19,13,47,43,19,18,50,37,44,37
"Molders, Shapers, and Casters, Except Metal and Plastic",2,47,36,50,41,38,34,50,41,50,41,35,34,0,Not relevant,53,43,3,Not relevant,47,37,38,30
"Office Machine Operators, Except Computer",2,44,37,50,37,25,29,50,43,50,41,38,29,19,13,53,41,0,Not relevant,50,43,47,39
"Patternmakers, Metal and Plastic",3,41,32,50,43,28,29,50,45,50,41,35,34,28,18,50,43,13,7,50,41,31,30
"Potters, Manufacturing",3,25,30,50,45,19,20,50,43,50,41,28,25,3,Not relevant,44,41,13,9,47,41,35,37
"Refractory Materials Repairers, Except Brickmasons",2,35,30,47,43,31,30,44,39,50,41,25,25,0,Not relevant,47,37,0,Not relevant,44,39,38,32
Septic Tank Servicers and Sewer Pipe Cleaners,1,44,37,53,43,41,34,47,41,50,41,35,34,0,Not relevant,44,41,6,Not relevant,44,36,38,37
Bakers,2,50,43,50,43,31,29,56,41,50,39,31,30,0,Not relevant,47,39,19,13,50,41,31,30
Brickmasons and Blockmasons,2,47,30,53,43,28,30,50,41,50,39,47,48,0,Not relevant,44,34,19,18,50,36,31,30
Bridge and Lock Tenders,2,35,30,50,43,38,30,56,43,50,39,25,27,3,Not relevant,47,34,3,Not relevant,50,41,47,41
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",2,41,32,50,39,25,29,56,43,50,39,35,34,3,Not relevant,47,41,16,13,50,39,41,34
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",2,41,30,50,39,28,29,60,45,50,39,28,29,6,Not relevant,50,39,19,11,53,34,44,34
Floor Sanders and Finishers,1,41,32,44,34,28,27,47,39,50,39,25,21,0,Not relevant,41,34,3,Not relevant,44,32,28,27
Manicurists and Pedicurists,2,44,32,38,36,28,27,41,30,50,39,22,18,0,Not relevant,44,30,0,Not relevant,50,37,28,27
Packaging and Filling Machine Operators and Tenders,2,35,30,47,32,28,32,53,41,50,39,28,29,3,Not relevant,47,41,0,Not relevant,44,32,41,32
"Paper Goods Machine Setters, Operators, and Tenders",2,47,32,50,41,25,30,50,43,50,39,28,29,0,Not relevant,44,32,0,Not relevant,50,39,31,30
Pile Driver Operators,2,25,29,47,43,22,23,56,41,50,39,28,20,0,Not relevant,38,32,10,5,44,34,31,27
Rail-Track Laying and Maintenance Equipment Operators,2,41,34,53,43,38,32,53,41,50,39,31,29,0,Not relevant,35,32,6,Not relevant,47,32,31,30
Shoe Machine Operators and Tenders,2,25,25,50,34,19,16,47,41,50,39,28,23,0,Not relevant,50,39,3,Not relevant,47,37,22,25
"Stone Cutters and Carvers, Manufacturing",2,38,29,50,41,31,32,47,37,50,39,31,23,13,7,47,41,10,5,47,34,31,32
Stockers and Order Fillers,2,34,30,47,37,22,18,42,33,50,38,33,24,7,Not relevant,43,36,1,Not relevant,52,37,35,31
Helpers--Extraction Workers,2,47,37,53,41,41,32,69,45,50,37,38,32,0,Not relevant,44,36,10,7,47,34,35,32
"Rock Splitters, Quarry",1,28,30,44,37,25,29,47,36,50,37,22,21,0,Not relevant,44,34,3,Not relevant,41,37,28,30
Tire Builders,2,25,25,50,36,25,27,50,41,50,37,22,16,6,Not relevant,31,30,0,Not relevant,41,32,25,25
Amusement and Recreation Attendants,1,35,29,44,39,28,29,47,34,50,36,25,25,6,Not relevant,35,29,0,Not relevant,56,39,38,29
Helpers--Roofers,2,41,30,47,32,31,32,50,36,50,36,31,25,10,5,35,32,0,Not relevant,47,29,31,30
Paperhangers,2,25,25,47,34,25,25,44,36,50,36,25,20,0,Not relevant,35,34,6,Not relevant,50,34,25,29
"Textile Cutting Machine Setters, Operators, and Tenders",2,38,29,47,39,25,29,53,46,50,36,28,30,19,11,44,37,0,Not relevant,50,30,41,32
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",2,35,30,50,43,35,29,50,43,50,36,25,29,0,Not relevant,38,30,0,Not relevant,53,34,35,29
Tire Repairers and Changers,2,31,29,50,34,28,32,47,32,50,36,25,27,0,Not relevant,38,29,0,Not relevant,50,32,31,30
"Cooks, Fast Food",1,35,32,41,34,25,23,41,32,50,34,25,23,0,Not relevant,41,37,0,Not relevant,44,30,25,29
Food Preparation Workers,1,35,30,47,30,35,30,47,30,50,34,28,27,0,Not relevant,41,30,0,Not relevant,50,30,31,30
"Food Servers, Nonrestaurant",2,25,30,47,34,25,30,44,32,50,34,25,21,3,Not relevant,47,30,0,Not relevant,50,36,25,30
Cement Masons and Concrete Finishers,1,28,25,50,34,35,29,56,41,50,32,41,39,3,Not relevant,35,27,6,Not relevant,53,29,25,27
Fence Erectors,2,31,27,50,41,31,29,50,41,50,32,31,37,0,Not relevant,38,30,3,Not relevant,50,30,25,29
"Insulation Workers, Floor, Ceiling, and Wall",2,41,30,50,39,28,29,47,39,50,32,31,27,0,Not relevant,41,32,0,Not relevant,50,32,28,30
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2,38,29,44,30,22,13,38,27,50,32,0,Not relevant,0,Not relevant,35,29,0,Not relevant,41,30,25,21
Laundry and Dry-Cleaning Workers,1,41,30,44,36,31,30,50,32,50,32,16,13,0,Not relevant,44,30,0,Not relevant,47,34,28,30
Logging Equipment Operators,1,31,30,47,39,31,29,50,43,50,32,35,27,0,Not relevant,38,32,13,7,44,32,44,34
Plasterers and Stucco Masons,1,44,30,44,37,41,29,47,37,50,32,25,27,0,Not relevant,44,32,3,Not relevant,47,30,28,32
Shoe and Leather Workers and Repairers,2,28,25,47,37,3,Not relevant,44,36,50,32,16,14,0,Not relevant,38,32,3,Not relevant,47,30,22,21
Dining Room and Cafeteria Attendants and Bartender Helpers,1,28,30,44,32,25,29,47,30,50,29,22,18,3,Not relevant,35,29,0,Not relevant,47,30,25,18
Fishing and Hunting Workers,1,41,31,50,42,30,30,42,43,49,37,20,18,0,Not relevant,41,37,19,17,49,38,30,31
Bus and Truck Mechanics and Diesel Engine Specialists,3,44,43,56,46,44,36,50,43,47,43,25,25,16,9,47,41,22,23,53,41,38,36
Heavy and Tractor-Trailer Truck Drivers,2,44,32,50,43,38,30,50,43,47,43,25,30,3,Not relevant,50,43,0,Not relevant,50,43,44,36
"Coin, Vending, and Amusement Machine Servicers and Repairers",2,41,30,47,41,22,25,47,43,47,41,25,29,10,5,47,41,16,9,47,37,41,36
"Cutters and Trimmers, Hand",1,28,29,41,30,25,23,44,37,47,41,25,16,0,Not relevant,44,37,0,Not relevant,47,30,28,30
"Grinding and Polishing Workers, Hand",1,35,32,47,41,28,29,44,41,47,41,25,25,6,Not relevant,47,41,6,Not relevant,47,34,35,37
"Layout Workers, Metal and Plastic",2,44,37,50,45,28,29,50,43,47,41,53,45,3,Not relevant,50,41,6,Not relevant,47,36,38,41
Medical Equipment Repairers,3,50,46,56,52,47,41,53,46,47,41,44,45,16,9,56,54,31,32,47,41,47,41
Ophthalmic Laboratory Technicians,2,44,36,50,41,38,34,50,41,47,41,28,32,19,11,50,41,19,13,47,37,44,37
Print Binding and Finishing Workers,2,38,34,56,43,38,41,53,43,47,41,28,30,16,13,53,41,3,Not relevant,50,39,44,37
Automotive Glass Installers and Repairers,2,41,34,47,39,35,30,47,37,47,39,25,25,3,Not relevant,38,36,13,7,50,37,35,34
Crossing Guards and Flaggers,2,31,23,44,36,22,13,47,37,47,39,16,9,0,Not relevant,31,29,0,Not relevant,53,36,25,25
"Cutting and Slicing Machine Setters, Operators, and Tenders",2,41,29,50,41,28,27,56,45,47,39,41,30,22,14,53,41,13,7,41,36,35,29
Electromechanical Equipment Assemblers,2,35,30,50,41,22,23,47,39,47,39,25,27,13,7,50,43,25,29,50,37,38,30
Jewelers and Precious Stone and Metal Workers,3,41,38,53,42,33,30,47,37,47,39,39,37,2,Not relevant,42,42,11,11,49,37,34,34
"Mail Clerks and Mail Machine Operators, Except Postal Service",2,31,30,50,41,28,29,50,41,47,39,31,29,13,7,50,37,3,Not relevant,50,39,47,39
"Paving, Surfacing, and Tamping Equipment Operators",2,41,30,50,41,31,30,56,41,47,39,25,29,0,Not relevant,38,30,3,Not relevant,47,32,22,23
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",2,28,29,50,37,28,30,53,39,47,39,25,20,16,9,50,39,0,Not relevant,50,37,31,27
Wellhead Pumpers,2,35,30,53,43,22,20,53,46,47,39,31,23,6,Not relevant,44,41,3,Not relevant,50,43,41,30
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",2,38,30,50,41,31,30,53,41,47,39,35,36,19,16,44,39,13,7,50,36,22,25
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",2,41,32,53,39,31,30,53,46,47,37,38,36,13,7,47,41,22,16,50,36,41,29
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,41,32,50,41,31,29,53,43,47,37,44,43,19,11,53,41,13,7,50,36,35,29
Refuse and Recyclable Material Collectors,2,38,29,50,43,13,13,44,32,47,37,10,7,0,Not relevant,47,34,0,Not relevant,50,32,44,34
Sheet Metal Workers,2,44,34,53,43,31,34,50,43,47,37,50,46,6,Not relevant,50,37,19,11,50,41,35,30
Tapers,2,31,29,41,34,28,29,47,37,47,37,16,9,0,Not relevant,31,30,3,Not relevant,47,30,25,29
Timing Device Assemblers and Adjusters,2,28,32,47,41,28,29,47,37,47,37,25,23,10,7,44,37,25,25,44,37,38,34
Tree Trimmers and Pruners,2,41,30,56,43,31,29,53,43,47,37,22,20,0,Not relevant,41,36,19,13,50,39,38,36
Cabinetmakers and Bench Carpenters,2,44,39,50,43,31,32,53,45,47,36,47,43,16,11,47,37,10,5,50,36,35,34
Industrial Truck and Tractor Operators,2,28,27,44,32,28,25,44,37,47,36,28,27,6,Not relevant,47,36,6,Not relevant,44,29,38,30
"Roustabouts, Oil and Gas",1,44,34,53,34,31,29,56,39,47,36,25,25,0,Not relevant,28,27,6,Not relevant,41,30,22,23
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",2,22,21,47,36,22,23,56,41,47,36,16,13,0,Not relevant,38,32,6,Not relevant,47,36,28,27
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",2,28,30,47,30,31,30,47,43,47,34,25,16,3,Not relevant,44,32,13,9,47,32,31,34
Dredge Operators,2,38,30,50,39,35,36,47,41,47,34,25,27,0,Not relevant,38,34,6,Not relevant,47,32,28,29
Fallers,1,35,29,56,43,10,11,56,39,47,34,35,21,0,Not relevant,25,25,19,18,41,34,22,18
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",2,41,27,47,34,25,27,47,32,47,34,31,20,0,Not relevant,35,29,3,Not relevant,38,32,25,21
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",2,44,30,50,39,41,36,50,43,47,32,25,29,10,9,47,39,3,Not relevant,47,30,41,32
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2,35,30,50,34,31,30,50,37,47,32,31,29,0,Not relevant,35,30,6,Not relevant,44,29,25,25
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",1,35,29,44,32,31,30,44,34,47,32,3,Not relevant,0,Not relevant,28,25,3,Not relevant,50,29,25,25
"Painting, Coating, and Decorating Workers",1,28,29,44,37,25,29,47,37,47,32,22,16,0,Not relevant,44,32,0,Not relevant,44,36,31,27
Carpet Installers,2,41,30,50,41,35,37,53,41,47,30,50,48,0,Not relevant,41,32,0,Not relevant,47,32,25,25
Helpers--Production Workers,2,25,27,44,32,25,27,47,34,47,29,25,25,6,Not relevant,41,32,6,Not relevant,44,30,22,23
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1,33,33,47,37,30,31,45,39,45,36,17,17,0,Not relevant,36,30,16,11,45,33,33,30
"Welders, Cutters, Solderers, and Brazers",2,30,31,47,38,25,26,49,40,45,36,30,23,5,Not relevant,42,35,6,Not relevant,42,31,27,25
Glaziers,2,31,30,50,41,28,27,44,43,44,41,31,34,0,Not relevant,50,41,13,7,47,39,28,27
"Tool Grinders, Filers, and Sharpeners",2,44,37,56,41,38,34,50,39,44,41,44,41,13,7,47,43,3,Not relevant,38,34,38,32
Machine Feeders and Offbearers,2,25,29,38,37,25,25,50,41,44,37,28,23,0,Not relevant,44,41,6,Not relevant,44,37,35,29
Models,2,22,23,41,27,3,Not relevant,22,25,44,37,6,Not relevant,0,Not relevant,38,29,0,Not relevant,44,30,25,29
"Sawing Machine Setters, Operators, and Tenders, Wood",2,28,29,50,39,25,27,50,41,44,36,25,21,3,Not relevant,35,37,6,Not relevant,41,30,19,20
Drywall and Ceiling Tile Installers,2,28,29,50,37,25,27,47,37,44,34,31,30,0,Not relevant,44,39,3,Not relevant,47,32,28,27
"Laborers and Freight, Stock, and Material Movers, Hand",2,28,29,47,34,25,25,41,32,44,34,25,27,0,Not relevant,44,34,0,Not relevant,44,30,35,29
Dishwashers,1,25,29,41,30,25,18,41,30,44,32,25,14,0,Not relevant,25,30,0,Not relevant,44,30,25,25
Foundry Mold and Coremakers,2,31,25,47,36,25,20,53,37,44,32,22,23,0,Not relevant,28,27,6,Not relevant,41,27,22,23
"Graders and Sorters, Agricultural Products",1,28,21,38,32,16,13,47,30,44,32,16,13,0,Not relevant,31,23,6,Not relevant,44,32,31,20
Landscaping and Groundskeeping Workers,1,31,29,47,27,28,27,38,27,44,32,19,11,0,Not relevant,31,27,16,13,47,27,19,18
Maids and Housekeeping Cleaners,1,28,23,44,30,28,21,44,29,44,30,22,14,0,Not relevant,41,30,0,Not relevant,44,30,28,29
